name,kb,macs,ppl,t1,t3
sum_k8_D64_H256_L2,244.3,100352,5.45,0.5169,0.7344
concat_k4_D64_H256_L2,220.3,149504,5.42,0.5179,0.7354
concat_k8_D48_H256_L2,288.3,182272,5.123,0.5346,0.7439
concat_k8_D64_H512_L3,954.3,823296,4.394,0.5695,0.7715
concat_k16_D32_H384_L2,510.3,371712,4.806,0.5496,0.7558
sum_k16_D128_H512_L2,936.3,364544,4.627,0.5556,0.7624
kgram_interp_nn460k,0,0,3.378,0.6328,0.819
